y,x,lon,lat,Average Wind Speed at 110m (m/s),NREL ATB Wind Class,Representative Wind Turbine,Capacity Factors,Capacity Factors,Spur Line Cost (USD/MW),LCOE (USD/MWh),Availability Fraction,Maximum Capacity (MW)
42.0,-81.0,-81.0,42.0,7.939946,6,T1,0.4640464876443148,0.4640464876443148,196.4880480598291,26.95350497972953,0.0,0.0
42.0,-80.75,-80.75,42.0,7.5978274,7,T1,0.4361486061215401,0.4361486061215401,227.5167000580186,29.201540423774986,0.0,0.0
42.0,-80.5,-80.5,42.0,7.1331086,7,T1,0.3955177066624165,0.3955177066624165,231.40839577434974,32.27383756955165,0.0,0.0
42.0,-80.25,-80.25,42.0,6.6477795,8,T2,0.3544674815386534,0.3544674815386534,217.60648404820674,36.0086117801905,0.0,0.0
42.0,-80.0,-80.0,42.0,6.3885193,9,T3,0.36936193225048436,0.36936193225048436,214.54270366460713,38.84880332857174,0.0,0.0
42.0,-79.75,-79.75,42.0,6.1845756,9,T3,0.34452604683785387,0.34452604683785387,222.54854377861002,41.82044785314485,0.0,0.0
42.0,-79.5,-79.5,42.0,6.062029,9,T3,0.3289187565423672,0.3289187565423672,240.4813772176561,44.20639433171671,0.0,0.0
42.0,-79.25,-79.25,42.0,6.021804,9,T3,0.32263937938403564,0.32263937938403564,266.4709263464645,45.66004987622425,0.0,0.0
42.0,-79.0,-79.0,42.0,6.02618,9,T3,0.32305637300250006,0.32305637300250006,289.10326886197385,46.11709547865692,0.0,0.0
42.0,-78.75,-78.75,42.0,6.0421486,9,T3,0.3251637920910282,0.3251637920910282,299.44517436356756,46.05245736184103,0.0,0.0
42.0,-78.5,-78.5,42.0,6.0235004,9,T3,0.32267148554298825,0.32267148554298825,317.18457191881816,46.81307873520309,0.0,0.0
42.0,-78.25,-78.25,42.0,6.141947,9,T3,0.3361262504178266,0.3361262504178266,341.1693501949259,45.46475625214631,0.0,0.0
42.0,-78.0,-78.0,42.0,6.2715697,9,T3,0.35085999975802923,0.35085999975802923,367.4447060321916,44.10711102928699,0.0,0.0
42.0,-77.75,-77.75,42.0,6.429,9,T3,0.36971294452144843,0.36971294452144843,397.15159704177046,42.44973841766937,0.0,0.0
42.0,-77.5,-77.5,42.0,6.171087,9,T3,0.33994855425927073,0.33994855425927073,430.45260498354327,46.88793568648096,0.0,0.0
42.0,-77.25,-77.25,42.0,5.9304595,9,T3,0.31212588944119196,0.31212588944119196,466.57854014376386,51.91994890414874,0.0,0.0
42.0,-77.0,-77.0,42.0,5.696846,10,T4,0.33556823670864105,0.33556823670864105,504.92313826744083,52.023102418157045,0.0,0.0
42.0,-76.75,-76.75,42.0,5.538076,10,T4,0.31580037423968316,0.31580037423968316,545.0180224122735,56.21464865269525,0.0,0.0
42.0,-76.5,-76.5,42.0,5.437864,10,T4,0.30363075187802313,0.30363075187802313,578.2984360514664,59.27503539847224,0.0,0.0
42.0,-76.25,-76.25,42.0,5.4388695,10,T4,0.30389390529692173,0.30389390529692173,586.126175826696,59.413420346136306,0.0,0.0
42.0,-76.0,-76.0,42.0,5.6070557,10,T4,0.3248440038263798,0.3248440038263798,597.8506938165062,55.84751263550124,0.0,0.0
42.0,-75.75,-75.75,42.0,5.771888,10,T4,0.34541067835688594,0.34541067835688594,613.2484261263513,52.85052818624654,0.0,0.0
42.0,-75.5,-75.5,42.0,5.8726683,10,T4,0.3580514521747828,0.3580514521747828,632.0508432650663,51.37144398241875,0.0,0.0
42.0,-75.25,-75.25,42.0,5.8432097,10,T4,0.35381780615448954,0.35381780615448954,651.9026535585896,52.39937645552308,0.0,0.0
42.0,-75.0,-75.0,42.0,5.943246,9,T3,0.3150030564703846,0.3150030564703846,672.5110563629748,56.2606979269305,0.0,0.0
42.0,-74.75,-74.75,42.0,5.9081354,9,T3,0.3113039764753689,0.3113039764753689,696.0992568673905,57.48729433532487,0.0,0.0
42.0,-74.5,-74.5,42.0,5.6974645,10,T4,0.3364149948656559,0.3364149948656559,722.0228006961227,56.645157726945854,0.0,0.0
42.25,-95.0,-95.0,42.25,6.922019,8,T2,0.37421536646783354,0.37421536646783354,1729.7528392442164,63.869967303837626,0.0,0.0
42.25,-94.75,-94.75,42.25,6.8258314,8,T2,0.3651135703921318,0.3651135703921318,1722.2690941284545,65.31119621222618,0.0,0.0
42.25,-94.5,-94.5,42.25,6.777967,8,T2,0.360417516708374,0.360417516708374,1716.029797533596,66.03466630671366,0.0,0.0
42.25,-94.25,-94.25,42.25,6.758645,8,T2,0.35835586355626586,0.35835586355626586,1711.0486238559038,66.31219295109656,0.0,0.0
42.25,-94.0,-94.0,42.25,6.7791934,8,T2,0.36039064836502077,0.36039064836502077,1707.3366333702593,65.86193002346566,0.0,0.0
42.25,-93.75,-93.75,42.25,6.793842,8,T2,0.36220261122286324,0.36220261122286324,1704.9021521503191,65.4829438507731,0.0,0.0
42.25,-93.5,-93.5,42.25,6.796371,8,T2,0.3632555723339319,0.3632555723339319,1703.750680123473,65.2697831824185,0.0,0.0
42.25,-93.25,-93.25,42.25,6.792841,8,T2,0.3638117296695709,0.3638117296695709,1703.8848296019767,65.17272135130295,0.0,0.0
42.25,-93.0,-93.0,42.25,6.743941,8,T2,0.35981740878522395,0.35981740878522395,1705.3042958821552,65.92525691667672,0.0,0.0
42.25,-92.75,-92.75,42.25,6.68119,8,T2,0.3534557204842568,0.3534557204842568,1708.0049806810975,67.16809147804317,0.0,0.0
42.25,-92.5,-92.5,42.25,6.6428194,8,T2,0.3490619067102671,0.3490619067102671,1711.9816202924947,68.09747613804646,0.0,0.0
42.25,-92.25,-92.25,42.25,6.6152787,8,T2,0.3453939145952463,0.3453939145952463,1717.2253638578682,68.93247104502593,0.0,0.0
42.25,-92.0,-92.0,42.25,6.613381,8,T2,0.3444433021843433,0.3444433021843433,1721.4885430692068,69.21387345786596,0.0,0.0
42.25,-91.75,-91.75,42.25,6.627123,8,T2,0.34585944917798045,0.34585944917798045,1712.6250142921792,68.74172047863154,0.0,0.0
42.25,-91.5,-91.5,42.25,6.6695404,8,T2,0.35083770732581615,0.35083770732581615,1663.2222275267097,66.7291807824377,0.0,0.0
42.25,-91.25,-91.25,42.25,6.5624475,8,T2,0.33965952104330066,0.33965952104330066,1613.8159084512647,67.85390831288207,0.0,0.0
42.25,-91.0,-91.0,42.25,6.3747597,9,T3,0.37509934486643887,0.37509934486643887,1564.4061706880002,64.7595545046794,0.0,0.0
42.25,-90.75,-90.75,42.25,6.0542264,9,T3,0.3353425825012999,0.3353425825012999,1514.9931285778375,71.35189922703454,0.0,0.0
42.25,-90.5,-90.5,42.25,5.7659764,10,T4,0.3422309778481722,0.3422309778481722,1465.5768973147403,71.68461448847331,0.0,0.0
