,0
439,0.0
440,0.0530459496769254
441,0.21807779311624884
442,0.3801626393512986
443,0.4449965778453186
444,0.4449965778453186
445,0.45089057225386586
446,0.3978446225769405
447,0.23281277913761703
448,0.0618869412897463
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.08251592171966173
465,0.2151307959119752
466,0.4449965778453186
467,0.5363534911778013
468,0.6778093569829355
469,0.7220143150470401
470,0.27407073999744785
471,0.2976467176316369
472,0.0618869412897463
473,0.0029469972042736334
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0353639664512836
489,0.1797668294606916
490,0.25638875677180606
491,0.30648770924445784
492,0.34185167569574143
493,0.2416537707504379
494,0.1856608238692389
495,0.0618869412897463
496,0.005893994408547267
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0088409916128209
513,0.04125796085983086
514,0.06778093569829356
515,0.1149328909666717
516,0.15324385462222892
517,0.12082688537521895
518,0.07662192731111446
519,0.0530459496769254
520,0.0176819832256418
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.047151955268378135
537,0.12672087978376623
538,0.1856608238692389
539,0.18271382666496525
540,0.17387283505214435
541,0.12082688537521895
542,0.12966787698803986
543,0.0618869412897463
544,0.014734986021368164
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,0.0
557,0.0
558,0.0
559,0.0
560,0.0530459496769254
561,0.20334280709488067
562,0.30648770924445784
563,0.46267856107096034
564,0.5893994408547266
565,0.5334064939735276
566,0.40668561418976135
567,0.22102479032052247
568,0.08251592171966173
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.005893994408547267
584,0.15619085182650255
585,0.2829117316102688
586,0.4538375694581395
587,0.5510884771991694
588,0.5687704604248112
589,0.5451944827906221
590,0.2946997204273633
591,0.13850886860086076
592,0.04125796085983086
593,0.0029469972042736334
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
601,0.0
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0029469972042736334
608,0.1326148741923135
609,0.4243675974154032
610,0.6365513961231047
611,0.795689245153881
612,0.8575761864436272
613,0.8015832395624282
614,0.6689683653701147
615,0.44204958064104494
616,0.14440286300940802
617,0.005893994408547267
618,0.0
619,0.0
620,0.0
621,0.0
622,0.0
623,0.0
624,0.0
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.02062898042991543
633,0.06778093569829356
634,0.1149328909666717
635,0.1414558658051344
636,0.12672087978376623
637,0.11198589376239806
638,0.08546291892393536
639,0.07662192731111446
640,0.0265229748384627
641,0.0029469972042736334
642,0.0
643,0.0
644,0.0
645,0.0
