time,"(-83.0, 46.25)","(-82.75, 46.25)","(-82.5, 46.25)","(-89.25, 48.5)","(-84.0, 46.5)","(-89.0, 48.5)","(-83.25, 46.25)","(-83.75, 46.5)","(-82.25, 46.25)","(-84.25, 46.5)","(-83.25, 46.5)","(-94.5, 49.75)","(-83.5, 46.5)","(-94.75, 49.75)","(-88.0, 49.0)","(-83.0, 46.5)","(-88.25, 49.0)","(-95.0, 49.75)","(-94.0, 49.25)","(-82.0, 46.25)"
2018-04-15 20:00:00,0.0006229616657701948,0.0006116460890553116,0.0006036053269576906,0.007431166640988996,0.0002407419000804289,0.005812867909628384,0.0005921238228319552,0.0,0.000457087903122622,0.000504153340982155,0.0,0.15895483427656318,0.0,0.1814326353167312,0.010608181900864546,0.0,0.011016727806996451,0.2017068544689256,0.10791164515412706,0.0004322594842442583
2018-04-15 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05427779719199669,0.0,0.0709346794114887,0.0,0.0,0.0,0.08998326936405651,0.0193527498992049,0.0
2018-04-15 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-15 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-16 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-16 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-16 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-16 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-16 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-16 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-16 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-16 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-16 08:00:00,0.004380623166539075,0.004012279639073987,0.0031698503732132477,0.002582233177028327,0.005155674220606679,0.0015102795673710336,0.004279386188418056,0.004672748260109002,0.0022289606305451294,0.005457510269173425,0.003969198451724912,0.0,0.0042188338034137565,0.0,0.0042421114789495526,0.0036386032354132347,0.0035904780923246703,0.0,0.0,0.0015887622420189059
2018-04-16 09:00:00,0.015424344757820584,0.015053723133658433,0.013617901635431556,0.038235449276597326,0.016402874401480222,0.028697717339131054,0.014884894954022137,0.01608460275318395,0.012688685512505031,0.01622137462019709,0.014518881425121534,0.09953440068140541,0.015411407310127245,0.1278716449780268,0.03108022682838332,0.012908980428307518,0.03143423279565168,0.16202559741358916,0.06181142783924393,0.012457383839348775
2018-04-16 10:00:00,0.049446902703570834,0.051909371588662115,0.05074734502631421,0.13612867269100123,0.043293764415584385,0.10870262339045428,0.04370207466615427,0.040090277629066244,0.04566245496650751,0.047149317925118846,0.03980005227632167,0.2861016003522853,0.03882253905510418,0.32202320900301146,0.10644211603049455,0.04156030745496304,0.09734825952205639,0.36824046548479694,0.26067041004960245,0.04266502701280275
2018-04-16 11:00:00,0.0672918668504044,0.07130874889390879,0.07095387480343592,0.21001577998723375,0.07269853429250174,0.18795353840953857,0.05952289652845799,0.0702271894276819,0.06842913903798657,0.07564659190516464,0.06993797789740425,0.4562259451761564,0.06883546267212076,0.4749662085030597,0.14703525443466242,0.07109557883260381,0.15146733418709185,0.5184641707917697,0.4835988320377531,0.06852966728537392
2018-04-16 12:00:00,0.10387451834808702,0.12340519977275377,0.13480867157228307,0.3407871902292643,0.08578240642851058,0.31263452867253655,0.07739549719275193,0.07615868360823426,0.13083129237076882,0.10050633925766035,0.08409424968772841,0.6173394902051899,0.07488016384174097,0.6911951335175872,0.26975883263735345,0.10115216171775843,0.2817736867315295,0.7626858320734303,0.5801028478234656,0.130027769191462
2018-04-16 13:00:00,0.14275770884810618,0.14912034728142848,0.14665233298284935,0.48229035688328464,0.17925045330084496,0.4181543511425866,0.13029704493765265,0.17208644711409507,0.13998564256747498,0.18629828594450296,0.15768294873063715,0.7341552819498662,0.16345206938729204,0.8045762039125441,0.2366060523525823,0.15022039348842478,0.2871593897885383,0.8566416825083364,0.6475694604035583,0.1365902338691872
2018-04-16 14:00:00,0.1605383476583668,0.16411977760939453,0.1595059639875985,0.4041408429304618,0.1861565409786111,0.34408193980491447,0.15081843638592363,0.17530803833110442,0.1549586785223439,0.1964434905189097,0.15393877727209243,0.771124589844268,0.1638986690047665,0.8198422714169036,0.2779390851951116,0.1439555697663136,0.286597452014594,0.8511864176513924,0.6897265003414994,0.15207506450137961
2018-04-16 15:00:00,0.1894336198097436,0.2022807879775049,0.2145748959693794,0.6000821026530693,0.21449394546611114,0.5238965040949676,0.1757681080346277,0.1982341478504582,0.2432411576429389,0.23491570217623492,0.1915876659780343,0.7693088421760526,0.19022508264988613,0.8184711933219951,0.3447178847144719,0.20215499480769306,0.37691071160762846,0.8571352642271235,0.7069554774558636,0.2731024457271825
2018-04-16 16:00:00,0.15253857368280724,0.17419976255344444,0.18977809099518383,0.41847615992048476,0.10149758084872551,0.35478221086610995,0.12661215298141823,0.11118316455054908,0.20468322678414483,0.0995206567703373,0.13604886773549926,0.7984925595447084,0.12221086932804866,0.8301147795696113,0.2774147519855675,0.1496652639533761,0.27794062836496986,0.8481785376694725,0.7277898213910944,0.22120062168929241
2018-04-16 17:00:00,0.13897395242605026,0.14435144017498566,0.1438824232022294,0.427657432260479,0.11807829872356355,0.3397516782518445,0.12830550497665624,0.11867859349126024,0.1388267936911435,0.12207708776712221,0.12338077327654683,0.7728446850798752,0.11952481152060403,0.7936307445936898,0.19807358039710393,0.1266561978528199,0.21122338938001534,0.8144812254930718,0.7489733783656259,0.1356859700476882
2018-04-16 18:00:00,0.0987632025657606,0.09889470384617423,0.09317163434096293,0.2065394686176494,0.08358663246543377,0.1389819016682036,0.09342762977739426,0.08533227407940047,0.0842338890727424,0.08263452271560147,0.08654819925227908,0.6695167138163702,0.0857933267464563,0.721156236703112,0.0850957789692942,0.08431303044427522,0.08447025365822321,0.7627349840588755,0.626323753997277,0.0767576323071783
2018-04-16 19:00:00,0.04053303836482558,0.037705050520767176,0.03238608326489756,0.09487776747581843,0.04567490951996824,0.05880156577455729,0.04056924680878018,0.04017425417465065,0.026104216748333714,0.051186278098130825,0.03364012217241288,0.6717561590384526,0.035754709176664304,0.7254468517344309,0.05317359815722324,0.03206804914452579,0.043888553485270425,0.7742245812632061,0.6216790737713149,0.021174041782712885
2018-04-16 20:00:00,0.01723924185725439,0.013155789761294745,0.008175556516842765,0.019372136871107778,0.01643430529208391,0.011694719744917302,0.02010238817870118,0.018108621404258143,0.005521724834936808,0.013914702206917488,0.016422366664929473,0.5518881164062708,0.017906602897978265,0.615402902087599,0.01291234578673187,0.0126151669722936,0.011111570051013648,0.675817445178846,0.5136665382073307,0.003501743414085764
2018-04-16 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39075148116870534,0.0,0.41469005381962937,0.0,0.0,0.0,0.4511384706508614,0.38440415131432665,0.0
2018-04-16 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-16 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-17 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-17 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-17 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-17 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-17 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-17 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-17 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-17 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-17 08:00:00,0.012545816199233756,0.01342804232880686,0.013573271643873697,0.10435669087357807,0.006898426550137355,0.08265848384538368,0.010477287995310385,0.005427615702420003,0.010220460413994208,0.00880091282766743,0.008045101491740494,0.0,0.00570857818099472,0.0,0.02036950726631941,0.011386884824362281,0.018844055115872425,0.0,0.0,0.007852852906295376
2018-04-17 09:00:00,0.09890643347213406,0.10139007035623085,0.10215291094237534,0.19248417976051957,0.14073134464271592,0.15622668187328753,0.09306785412249106,0.12148903217257914,0.08792065903592051,0.16485235725385794,0.11878314912315749,0.609415458802859,0.11345559727005405,0.5969377498585272,0.11850216044159154,0.1321608625408819,0.10693975510416022,0.5762819854090252,0.5590197224198316,0.07679189953922165
2018-04-17 10:00:00,0.3448284623415312,0.3098414028032374,0.2654536846182159,0.357434092914596,0.4703719031043098,0.32000985543790617,0.377097964468613,0.5148336514045365,0.22736885658739145,0.40761143783560044,0.511373313759733,0.7850943530385279,0.5264259585688594,0.7729897397603143,0.3266600068844664,0.4543161966940699,0.28270520779802993,0.7536522971634673,0.7373466260145516,0.19909843998934015
2018-04-17 11:00:00,0.5224557504112478,0.4986500831850808,0.4573274935617907,0.3841869738559053,0.6085998912590033,0.3877869547153644,0.5321084553328349,0.6528457497090209,0.40474435728594965,0.5487328102884116,0.6781975401598144,0.8574176109792244,0.6720832462171845,0.8532392505067944,0.6513464491365791,0.6514657911790412,0.5965555977023884,0.8471786831375122,0.8509175659342838,0.35975232085305675
2018-04-17 12:00:00,0.6647665413983074,0.6372221671778538,0.5903384318338563,0.4647095756268832,0.7928976727304906,0.4539167021721611,0.6784355409544648,0.8002051916360062,0.5219148007232629,0.7638358419714101,0.7759581407999413,0.9009550850765116,0.7927427411981012,0.8996084044282572,0.672751543226898,0.7362770174694367,0.6070119231340789,0.8963621513036217,0.8949570480986151,0.45580379461162956
2018-04-17 13:00:00,0.8407313257628395,0.823337615999039,0.7891322977001882,0.48467758476958395,0.8505990120494337,0.46909434741774736,0.8458659478502573,0.8532530217485205,0.7011054608095892,0.8313211402368832,0.839645795104376,0.9063553003336237,0.8494866300969187,0.9043137569227807,0.6662094705413609,0.8129386051163421,0.6058323877875091,0.9011939040956432,0.8979773275214241,0.6067264944035766
2018-04-17 14:00:00,0.809219225940556,0.7582243687102385,0.6944401744662524,0.49214588148988314,0.8219593265647296,0.47990321172439526,0.8526374256475082,0.8381282170905459,0.6249466121087833,0.7852823920111843,0.7930828984955077,0.9094911845036424,0.8291335549107346,0.9091337323957004,0.6715308673382696,0.7214271302312423,0.6190336207633238,0.9071563509563447,0.9021733723490467,0.5549689305687734
2018-04-17 15:00:00,0.41090557023140173,0.36766713417531016,0.32331614454026497,0.5377761148669842,0.41369244984159426,0.537753564069643,0.4443432139391015,0.3647090388132219,0.29759268547798734,0.4675179460862813,0.3084656501711422,0.9134985357664144,0.328841630089644,0.9148876951537935,0.6649858072902163,0.3051070510507126,0.6282065609516638,0.9141175763151947,0.9087962057271926,0.28444660460484655
2018-04-17 16:00:00,0.35366139726138246,0.32198205307316996,0.2872989702334746,0.566191391822096,0.43812744326089414,0.5591050543764666,0.3766984158840272,0.37892754133718404,0.25880670315014326,0.49213540056760186,0.3069934281123432,0.8972224590933738,0.33519941876829495,0.8977148289389908,0.6388553802511795,0.29951921609154203,0.599645315465729,0.896885236081197,0.8925582690843024,0.23892929418908782
2018-04-17 17:00:00,0.30509196501089086,0.2837032099666054,0.2600044271162924,0.4942754778697206,0.37234158127842626,0.5052055034106633,0.32207341110795373,0.3356635499727648,0.24838047182728804,0.4079647597963054,0.2811427678041109,0.8824995996271117,0.3040674563891759,0.8834326994405367,0.6124363078780929,0.26723482289394634,0.5488495018974305,0.8832587849515942,0.8783270177895185,0.24082231496688017
2018-04-17 18:00:00,0.28071963393457866,0.25199028410016594,0.22516178704696757,0.38071622426525736,0.5599546059573266,0.4399985103219987,0.30843183131834495,0.42963387043168433,0.21057321540045015,0.6630872314688345,0.25452285800356433,0.8523618982288881,0.32761268491037326,0.853975435686085,0.659444266714537,0.229221523286257,0.5814659744023224,0.8544791408427224,0.8464709476042523,0.20009629620316996
2018-04-17 19:00:00,0.26484332818545786,0.22396034679934104,0.18742191888420276,0.4849596208237914,0.30106192019231093,0.5281305633451986,0.3024563886547111,0.24866270587369213,0.1722661497312025,0.35316416790638533,0.17393124670350632,0.7918839926519622,0.20445089716839612,0.794484750475638,0.45372876243218385,0.16068896744973607,0.46756323711655245,0.796167612244332,0.784543638796914,0.1612052709675041
2018-04-17 20:00:00,0.11869472578524874,0.09390559953583716,0.07139583765405978,0.33793675881897856,0.11525763600414768,0.35955055412308323,0.14159890981211057,0.09968429395933494,0.06520493973954165,0.12918202329936262,0.07152910003783439,0.6744296284070732,0.08395973901778019,0.6776669256039927,0.36675059166933943,0.06314718571264147,0.3784975371655318,0.680296768631652,0.660893550982563,0.06161248745537337
2018-04-17 21:00:00,0.0,0.0,0.0,0.23410000563150657,0.0,0.23634443008500725,0.0,0.0,0.0,0.0,0.0,0.4609213017132895,0.0,0.4610757824282815,0.05103777681113915,0.0,0.10474147014604789,0.460122572769736,0.43859616479971947,0.0
2018-04-17 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
