x,y,Max Capacity (MW),LCOE without Spur,LCOE with Spur,Capacity Factor,Interconnection Cost ($/kW),Availability Fraction
-94.75,44.25,0.0,53.98097316110898,92.05643180637712,0.21376395444109775,1194.9514595969079,0.0
-94.75,44.5,0.0,54.30186175226954,90.50667199914575,0.2125007488719324,1129.5290015211322,0.0
-94.75,44.75,0.0,54.33846932979607,88.47495803532848,0.21235758809219898,1064.2833725345608,0.0
-94.75,45.0,0.0,54.37431617734796,86.44600223346711,0.21221758908858854,999.249211307085,0.0
-94.75,45.25,0.0,54.70499035401493,84.87995641576994,0.21093480161176067,934.470670045637,0.0
-94.75,45.5,0.0,55.07422079447705,83.35713814084325,0.20952064543152998,870.0048493203759,0.0
-94.75,45.75,0.0,55.052028769874205,81.24128070719316,0.209605105303802,805.9267959544233,0.0
-94.75,46.0,0.0,54.94993777158776,79.02805044870276,0.20999452875566013,742.3369323271834,0.0
-94.75,46.25,0.0,54.855427177231014,76.85334843618706,0.2103563290140054,679.3723573570496,0.0
-94.75,46.5,0.0,54.872687074929516,74.86456207108819,0.21029016260385575,617.2244624764558,0.0
-94.75,46.75,0.0,54.90977433565723,72.93617898954547,0.21014812803563318,556.1670905505948,0.0
-94.75,47.0,0.0,54.820118761916866,70.88964857634744,0.21049181483192278,496.60264460180326,0.0
-94.75,47.25,0.0,54.84863046710553,69.06609026530516,0.21038239586342705,439.1390431269623,0.0
-94.75,47.5,0.0,54.745812454312556,67.17802730417803,0.2107775146661182,384.71881991465466,0.0
-94.75,47.75,0.0,54.536573337240604,65.31524779404158,0.21158619952416083,334.8292106056872,0.0
-94.75,48.0,0.0,54.20663078324584,63.24455382602917,0.2128740731671511,282.4633170436319,0.0
-94.75,48.25,0.0,54.23452416925594,61.80595907448931,0.21276458979313156,236.50928166414892,0.0
-94.75,48.5,0.0,55.21074373775516,61.73231635147477,0.20900255106700358,200.11266101371788,0.0
-94.75,48.75,1086.6790626403476,55.10519021288271,60.570889994192235,0.20940289368241294,168.03474748740985,0.0731385655452789
-94.75,49.0,435.1153139891733,53.79483044720281,58.58092357974225,0.2145036277941727,150.7253956683924,0.029430294561896185
-94.75,49.25,2291.1420873922043,54.252641500833654,58.022553411589996,0.21269353838411917,117.72159682333864,0.15574230769972106
-94.75,49.5,2218.0153991237776,54.44822512227487,57.36004759856322,0.2119295213312053,90.59974951416055,0.15153149876916686
-94.75,49.75,6256.482133387391,55.13330471472867,55.95404830423913,0.20929611143760746,25.219664487483314,0.429607631552956
-94.75,50.0,8285.654052278858,55.69617560493402,56.98646186384076,0.20718094487039046,39.24700560185483,0.5718627840453036
-94.75,50.25,8214.902623713857,56.030739273003995,59.40474315070083,0.20594385220002054,102.01523987899463,0.5699158908945126
-94.75,50.5,10042.439751153004,56.53881273161658,62.14610479945448,0.20409318360243336,168.01665095992618,0.7003435808274172
-94.75,50.75,907.6944842631257,57.14080787290655,65.05193153610557,0.20194300215641076,234.55118278643013,0.0636349434925255
